id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
104,2016,"Yakult Swallows","Ren Kazahari",23,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","kazaha000ren"
105,2016,"Yakult Swallows","Jun Matsui",28,2,5,3,0,1,0,0,0,0,0,0,1,0,0.333,0.6,0.333,0.933,1,0,1,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","matsui000jun"
106,2016,"Yakult Swallows","Kenichi Matsuoka",34,53,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","matsuo001ken"
107,2016,"Yakult Swallows","Masayoshi Miwa",32,51,41,33,9,8,0,1,0,2,1,0,3,10,0.242,0.306,0.303,0.609,10,1,0,5,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","miwa--001mas"
108,2016,"Yakult Swallows","Ryosuke Morioka",31,26,33,31,1,2,1,0,0,3,0,0,1,8,0.065,0.091,0.097,0.188,3,2,0,0,1,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","moriok001ryu"
109,2016,"Yakult Swallows","Kyohei Muranaka",28,52,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","murana001kyo"
110,2016,"Yakult Swallows","Yuhei Nakamura",26,106,378,321,24,60,14,0,3,37,2,0,31,47,0.187,0.266,0.259,0.525,83,9,6,14,6,4,"","2017-09-25 13:03:23","2017-10-02 12:37:19","nakamu001yuh"
111,2016,"Yakult Swallows","Yoshihisa Naruse",30,22,18,17,2,1,0,0,0,1,0,0,1,12,0.059,0.111,0.059,0.17,1,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","naruse001yos"
112,2016,"Yakult Swallows","Akihisa Nishida",24,74,245,222,29,54,16,1,7,25,0,0,18,39,0.243,0.303,0.419,0.722,93,5,1,4,0,2,"","2017-09-25 13:03:23","2017-10-02 12:37:19","nishid000aki"
113,2016,"Yakult Swallows","Naomichi Nishiura",25,72,273,247,21,63,12,0,7,28,9,3,23,54,0.255,0.317,0.389,0.706,96,3,0,2,1,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","nishiu000nao"
114,2016,"Yakult Swallows","Keiji Obiki",32,100,391,348,48,87,16,1,5,27,7,5,40,82,0.25,0.326,0.345,0.671,120,5,0,2,1,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ohbiki001kei"
115,2016,"Yakult Swallows","Yasuhiro Ogawa",26,25,54,50,4,4,1,0,1,3,0,0,0,26,0.08,0.08,0.16,0.24,8,0,0,4,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ogawa-001yas"
116,2016,"Yakult Swallows","Nobuyuki Okumura",21,4,8,6,0,0,0,0,0,0,0,0,2,2,0,0.25,0,0.25,0,1,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","okumur000nob"
117,2016,"Yakult Swallows","Luis Perez",31,19,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","perez-007lui"
118,2016,"Yakult Swallows","Tomotaka Sakaguchi",31,141,607,526,74,155,14,5,0,39,7,4,63,66,0.295,0.375,0.34,0.716,179,5,8,5,5,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","sakagu001tom"
119,2016,"Yakult Swallows","Yoshinori Sato",26,5,9,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,1,0,1,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","sato--002yos"
120,2016,"Yakult Swallows","Toshihiro Sugiura",24,17,16,11,1,1,0,0,0,0,0,0,0,7,0.091,0.091,0.091,0.182,1,1,0,5,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","sugiur000tos"
121,2016,"Yakult Swallows","Yuhei Takai",32,108,436,412,44,122,20,0,7,55,7,1,21,51,0.296,0.329,0.396,0.724,163,9,0,1,2,2,"","2017-09-25 13:03:23","2017-10-02 12:37:19","takai-001yuh"
122,2016,"Yakult Swallows","Shinichi Takeuchi",32,25,24,20,3,5,0,0,0,2,0,0,4,5,0.25,0.375,0.25,0.625,5,1,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","takeuc001shi"
123,2016,"Yakult Swallows","Hiroyasu Tanaka",34,31,37,32,2,6,2,0,0,1,0,0,4,3,0.188,0.297,0.25,0.547,8,0,1,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","tanaka001hir"
124,2016,"Yakult Swallows","Shohei Tateyama",35,10,14,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","tateya001sho"
125,2016,"Yakult Swallows","Tsuyoshi Ueda",27,72,92,82,12,18,2,1,1,10,5,3,4,13,0.22,0.275,0.305,0.58,25,1,3,1,2,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ueda--001tsu"
126,2016,"Yakult Swallows","Atsushi Ugumori",29,46,146,136,7,35,4,1,4,19,0,0,9,22,0.257,0.303,0.39,0.693,53,4,0,1,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ugumor001ats"
127,2016,"Yakult Swallows","Ryota Yachi",25,23,80,70,10,21,5,0,1,6,0,0,7,14,0.3,0.372,0.414,0.786,29,2,1,2,0,0,"","2017-09-25 13:03:24","2017-10-02 12:37:19","yachi-000ryo"
128,2016,"Yakult Swallows","Tetsuto Yamada",23,133,590,481,102,146,26,3,38,102,30,2,97,101,0.304,0.425,0.607,1.032,292,16,8,0,4,0,"","2017-09-25 13:03:24","2017-10-02 12:37:20","yamada000tet"
129,2016,"Yakult Swallows","Hirofumi Yamanaka",30,22,46,41,1,3,0,0,0,1,0,0,0,16,0.073,0.073,0.073,0.146,3,1,0,5,0,0,"","2017-09-25 13:03:24","2017-10-02 12:37:20","yamana000hir"
130,2016,"Yakult Swallows","Kotaro Yamasaki",22,7,19,18,1,3,0,0,0,0,1,0,1,8,0.167,0.211,0.167,0.377,3,0,0,0,0,0,"","2017-09-25 13:03:24","2017-10-02 12:37:20","yamasa000kot"
131,2016,"Yokohama Bay Stars","Sho Aranami",30,36,96,87,8,17,2,1,0,7,0,1,7,17,0.195,0.263,0.241,0.505,21,1,1,1,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","aranam000sho"
132,2016,"Yokohama Bay Stars","Taketoshi Goto",36,27,30,23,2,6,1,0,1,6,0,0,7,9,0.261,0.433,0.435,0.868,10,1,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","gotoh-001tak"
133,2016,"Yokohama Bay Stars","Elian Herrera",31,79,274,257,30,56,12,2,5,33,2,1,13,57,0.218,0.258,0.339,0.597,87,3,1,3,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","herrer001eli"
134,2016,"Yokohama Bay Stars","Shotaro Ide",32,11,29,27,4,7,0,0,1,4,0,0,1,5,0.259,0.276,0.37,0.646,10,0,0,0,1,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","ide---001sho"
135,2016,"Yokohama Bay Stars","Shota Imanaga",22,22,43,36,0,5,0,0,0,1,0,0,2,13,0.139,0.184,0.139,0.323,5,0,0,5,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","imanag000sho"
136,2016,"Yokohama Bay Stars","Shoichi Ino",30,23,48,40,1,6,1,0,0,0,0,0,1,14,0.15,0.171,0.175,0.346,7,1,0,7,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","ino---000sho"
137,2016,"Yokohama Bay Stars","Kenta Ishida",23,25,50,44,3,8,0,0,0,3,0,0,0,24,0.182,0.182,0.182,0.364,8,0,0,6,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","ishida000ken"
138,2016,"Yokohama Bay Stars","Takehiro Ishikawa",29,95,329,297,35,62,8,2,2,14,6,4,18,67,0.209,0.258,0.269,0.527,80,3,2,11,1,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","ishika001tak"
139,2016,"Yokohama Bay Stars","Takayuki Kajitani",27,107,450,396,69,108,20,4,18,56,26,7,49,110,0.273,0.359,0.48,0.838,190,2,4,1,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kajita001tak"
140,2016,"Yokohama Bay Stars","Yota Kosugi",30,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kosugi001yot"
