id,year,"team_name","pit_name",age,wins,losses,win_loss_perc,earned_run_avg,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,homeruns,walks,intentional_bb,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,whip,hits_per_nine,homeruns_per_nine,walks_per_nine,strikeouts_per_nine,strikeouts_per_walks,"notes","created_at","updated_at","pitcher_id"
86,2016,"Tohoku Rakuten Golden Eagles","Jake Brigham",28,0,3,0,5.24,11,4,0,0,0,0,34.1,39,24,20,3,16,0,27,5,1,1,155,1.602,10.2,0.8,4.2,7.1,1.69,"",NULL,NULL,"brigha001jac"
87,2016,"Tohoku Rakuten Golden Eagles","Hiroyuki Fukuyama",27,4,5,0.444,2.71,69,0,14,0,0,0,69.2,65,24,21,2,19,0,30,5,1,1,294,1.206,8.4,0.3,2.5,3.9,1.58,"",NULL,NULL,"fukuya000hir"
88,2016,"Tohoku Rakuten Golden Eagles","Yuri Furukawa",20,0,0,0,7.71,6,0,1,0,0,0,7,5,6,6,1,5,0,4,1,0,0,30,1.429,6.4,1.3,6.4,5.1,0.8,"",NULL,NULL,"furuka000yur"
89,2016,"Tohoku Rakuten Golden Eagles","Kodai Hamaya",23,2,0,1,10.24,13,0,2,0,0,0,9.2,12,13,11,1,10,1,15,0,0,0,52,2.276,11.2,0.9,9.3,14,1.5,"",NULL,NULL,"hamaya000kod"
90,2016,"Tohoku Rakuten Golden Eagles","Kohei Hasebe",31,0,0,0,11.57,2,0,0,0,0,0,2.1,1,3,3,0,3,0,2,1,0,0,12,1.714,3.9,0,11.6,7.7,0.67,"",NULL,NULL,"hasebe001koh"
91,2016,"Tohoku Rakuten Golden Eagles","Takahiro Irino",27,0,0,0,12.27,4,0,2,0,0,0,3.2,6,5,5,2,2,0,4,0,0,1,19,2.182,14.7,4.9,4.9,9.8,2,"",NULL,NULL,"irino-000tak"
92,2016,"Tohoku Rakuten Golden Eagles","Ryota Ishibashi",25,0,0,0,13.5,6,0,4,0,0,0,5.1,10,8,8,2,4,0,4,0,0,1,30,2.625,16.9,3.4,6.8,6.8,1,"",NULL,NULL,"ishiba000ryo"
93,2016,"Tohoku Rakuten Golden Eagles","Yoshinao Kamata",22,7,5,0.583,4.14,20,20,0,0,0,0,113,124,56,52,12,50,0,77,8,0,2,510,1.54,9.9,1,4,6.1,1.54,"",NULL,NULL,"kamata000yos"
94,2016,"Tohoku Rakuten Golden Eagles","Norihito Kaneto",32,3,1,0.75,2.38,54,0,10,0,0,0,41.2,31,13,11,1,14,1,25,2,0,2,170,1.08,6.7,0.2,3,5.4,1.79,"",NULL,NULL,"kaneto001nor"
95,2016,"Tohoku Rakuten Golden Eagles","Wataru Karashima",25,3,7,0.3,3.88,13,13,0,0,0,0,72,72,33,31,2,22,0,48,3,0,0,306,1.306,9,0.3,2.8,6,2.18,"",NULL,NULL,"karash001wat"
